Antwerpen,Limburg,Oost_Vlaanderen,West_Vlaanderen,Vlaams_Brabant,Brussel,Nederland,Wallonie,Other
2000,3500,9000,8000,1500,1000,,1300,
2018,3500,9030,8000,1501,1020,,1300,
2020,3501,9031,8020,1502,1030,,1301,
2030,3510,9032,8020,1540,1040,,1310,
2040,3510,9040,8020,1540,1050,,1315,
2040,3511,9041,8020,1541,1060,,1315,
2040,3511,9042,8200,1547,1070,,1315,
2040,3512,9042,8200,1560,1080,,1315,
2050,3520,9042,8210,1570,1081,,1315,
2060,3530,9050,8210,1570,1082,,1320,
2070,3530,9050,8210,1570,1083,,1320,
2070,3540,9051,8211,1600,1090,,1320,
2100,3540,9051,8300,1600,1120,,1320,
2110,3540,9052,8300,1600,1130,,1320,
2140,3540,9060,8301,1601,1140,,1325,
2150,3545,9070,8301,1602,1150,,1325,
2160,3545,9070,8310,1620,1160,,1325,
2170,3545,9080,8310,1630,1170,,1325,
2180,3550,9080,8340,1640,1180,,1325,
2200,3550,9080,8340,1650,1190,,1330,
2200,3550,9080,8340,1651,1200,,1331,
2200,3560,9090,8340,1652,1210,,1332,
2220,3560,9090,8340,1653,,,1340,
2220,3560,9100,8340,1654,,,1341,
2221,3570,9100,8370,1670,,,1342,
2222,3580,9111,8370,1670,,,1348,
2222,3581,9112,8377,1670,,,1350,
2223,3582,9120,8377,1671,,,1350,
2230,3583,9120,8377,1673,,,1350,
2230,3590,9120,8377,1674,,,1350,
2235,3600,9120,8380,1700,,,1350,
2235,3620,9120,8380,1700,,,1350,
2235,3620,9130,8380,1700,,,1350,
2240,3620,9130,8400,1701,,,1357,
2240,3620,9130,8400,1702,,,1357,
2240,3621,9130,8400,1703,,,1357,
2242,3630,9140,8420,1730,,,1360,
2243,3630,9140,8420,1730,,,1360,
2250,3630,9140,8420,1730,,,1360,
2260,3630,9140,8421,1730,,,1360,
2260,3630,9150,8430,1731,,,1360,
2260,3630,9150,8431,1731,,,1367,
2260,3630,9150,8432,1740,,,1367,
2270,3631,9160,8433,1741,,,1367,
2275,3631,9160,8433,1742,,,1367,
2275,3640,9160,8433,1745,,,1367,
2275,3640,9170,8433,1745,,,1367,
2275,3640,9170,8434,1750,,,1367,
2280,3640,9170,8434,1750,,,1367,
2288,3650,9170,8450,1750,,,1370,
2290,3650,9180,8460,1755,,,1370,
2300,3650,9185,8460,1755,,,1370,
2310,3650,9190,8460,1755,,,1370,
2320,3650,9190,8460,1755,,,1370,
2321,3650,9200,8470,1760,,,1370,
2322,3660,9200,8470,1760,,,1370,
2323,3665,9200,8470,1760,,,1370,
2328,3668,9200,8470,1760,,,1370,
2330,3670,9200,8480,1761,,,1370,
2340,3670,9200,8480,1770,,,1380,
2340,3670,9200,8480,1780,,,1380,
2350,3670,9200,8490,1785,,,1380,
2360,3670,9220,8490,1785,,,1380,
2370,3680,9220,8490,1785,,,1380,
2380,3680,9230,8490,1790,,,1390,
2381,3680,9230,8490,1790,,,1390,
2382,3690,9230,8500,1790,,,1390,
2387,3700,9240,8501,1790,,,1390,
2390,3700,9250,8501,1800,,,1390,
2390,3700,9255,8510,1800,,,1400,
2390,3700,9255,8510,1820,,,1400,
2400,3700,9260,8510,1820,,,1401,
2430,3700,9260,8510,1820,,,1402,
2430,3700,9260,8511,1830,,,1404,
2431,3700,9270,8520,1831,,,1410,
2431,3700,9270,8530,1840,,,1420,
2440,3700,9280,8531,1840,,,1421,
2450,3700,9280,8531,1840,,,1428,
2460,3700,9280,8540,1850,,,1430,
2460,3700,9290,8550,1851,,,1430,
2460,3700,9290,8551,1852,,,1430,
2470,3700,9290,8552,1853,,,1435,
2480,3700,9300,8553,1860,,,1435,
2490,3700,9308,8554,1861,,,1435,
2491,3700,9308,8560,1880,,,1440,
2500,3700,9310,8560,1880,,,1440,
2500,3717,9310,8560,1880,,,1450,
2520,3720,9310,8570,1910,,,1450,
2520,3721,9310,8570,1910,,,1450,
2520,3722,9320,8570,1910,,,1450,
2520,3723,9320,8570,1910,,,1457,
2530,3724,9340,8572,1930,,,1457,
2531,3730,9340,8573,1930,,,1457,
2540,3730,9340,8580,1932,,,1460,
2547,3730,9340,8581,1933,,,1460,
2550,3730,9340,8581,1950,,,1461,
2550,3732,9400,8582,1970,,,1470,
2560,3740,9400,8583,1980,,,1470,
2560,3740,9400,8587,1980,,,1470,
2560,3740,9400,8587,1981,,,1471,
2570,3740,9400,8600,1982,,,1472,
2580,3740,9400,8600,1982,,,1473,
2580,3740,9400,8600,3000,,,1474,
2590,3740,9401,8600,3001,,,1476,
2590,3740,9402,8600,3010,,,1480,
2600,3740,9403,8600,3012,,,1480,
2610,3740,9404,8600,3018,,,1480,
2620,3740,9406,8600,3020,,,1480,
2627,3742,9420,8600,3020,,,1490,
2630,3746,9420,8600,3020,,,1495,
2640,3770,9420,8600,3040,,,1495,
2650,3770,9420,8600,3040,,,1495,
2660,3770,9420,8600,3040,,,1495,
2800,3770,9420,8600,3040,,,1495,
2800,3770,9420,8600,3040,,,4000,
2801,3770,9420,8600,3050,,,4000,
